rank,symbol,exploration_year,taker_buy_ratio_threshold,oi_change_45m_threshold,holding_window,events,net_wins,net_losses,average_gross_return,average_round_trip_cost,average_funding_return,average_net_return,median_net_return,profit_factor,passes_numeric_gate,research_status
1,BTC/USDT,2025,0.6,0.01,4h,6,4,2,0.003640413597848233,0.0014,7.338726073211318e-05,0.0023138008585803465,0.005359181524311092,1.6340378748138984,False,EXPLORATION_ONLY
2,BTC/USDT,2025,0.6,0.005,4h,13,9,4,0.0031217121816939017,0.0014,4.819997241966094e-05,0.0017699121541135628,0.002897595487677677,1.7955067605238848,False,EXPLORATION_ONLY
3,BTC/USDT,2025,0.55,0.01,4h,22,12,10,0.0019665099977176945,0.0014,3.776828717946121e-05,0.0006042782848971558,0.0018568299514661686,1.1374108008857722,False,EXPLORATION_ONLY
4,BTC/USDT,2025,0.575,0.01,4h,13,7,6,0.0015472177451752386,0.0014,4.5667805382091715e-05,0.00019288555055733096,0.0036795800188295117,1.0450407313904817,False,EXPLORATION_ONLY
5,BTC/USDT,2025,0.55,0.01,30m,22,9,13,0.0011985220104872016,0.0014,2.659985576936301e-06,-0.00019881800393586205,-0.0003795799249129231,0.8117751750926318,False,EXPLORATION_ONLY
6,BTC/USDT,2025,0.575,0.01,30m,13,5,8,0.0011837565643592297,0.0014,4.501514053276817e-06,-0.0002117419215874933,-0.00033035958124715513,0.7737872914671823,False,EXPLORATION_ONLY
7,BTC/USDT,2025,0.55,0.01,1h,22,10,12,0.0010297217199498419,0.0014,1.4142712042577233e-05,-0.000356135568007581,-0.0005617324745077214,0.8137978332128154,False,EXPLORATION_ONLY
8,BTC/USDT,2025,0.55,0.005,1h,64,26,38,0.0010317422492627315,0.0014,1.0860217386520051e-05,-0.0003573975333507486,-0.0004555504501328068,0.7882654511727817,False,EXPLORATION_ONLY
9,BTC/USDT,2025,0.55,0.002,4h,199,91,108,0.0007872078927812124,0.0014,2.4651668059365624e-05,-0.0005881404391594218,-0.0008347705825379146,0.8391613462279464,False,EXPLORATION_ONLY
10,BTC/USDT,2025,0.55,0.005,4h,64,32,32,0.0006065843000830241,0.0014,3.283349876917067e-05,-0.0007605822011478051,-0.00023529375328856382,0.8264702177950083,False,EXPLORATION_ONLY
11,BTC/USDT,2025,0.575,0.01,1h,13,7,6,0.0005634977577984996,0.0014,1.1836710217125719e-05,-0.0008246655319843749,0.0005379199838777358,0.6076281229757445,False,EXPLORATION_ONLY
12,BTC/USDT,2025,0.55,0.002,1h,199,69,130,0.00030309905073811454,0.0014,7.494869150283618e-06,-0.0010894060801116018,-0.0013563646498342286,0.47181261663886226,False,EXPLORATION_ONLY
13,BTC/USDT,2025,0.55,0.005,30m,64,23,41,0.0002706760539782579,0.0014,3.3772460205351716e-06,-0.001125946700001207,-0.0015636285683432107,0.3611344887495758,False,EXPLORATION_ONLY
14,BTC/USDT,2025,0.6,0.002,4h,43,19,24,0.00022766550482921695,0.0014,3.3209591407144076e-05,-0.001139124903763639,-0.0008441068871260828,0.6526308701514112,False,EXPLORATION_ONLY
15,BTC/USDT,2025,0.6,0.01,30m,6,2,4,0.00020720685747955715,0.0014,9.753280448766437e-06,-0.0011830398620716765,-0.0012168557097053925,0.18300094777627607,False,EXPLORATION_ONLY
16,BTC/USDT,2025,0.55,0.002,30m,199,58,141,0.0002009977693703183,0.0014,2.206469163416549e-06,-0.001196795761466265,-0.0012913818630858444,0.31231822913298735,False,EXPLORATION_ONLY
17,BTC/USDT,2025,0.575,0.005,1h,30,12,18,0.00014629557277976086,0.0014,1.271289378625007e-05,-0.001240991533433989,-0.0005117129337037092,0.39726857082555644,False,EXPLORATION_ONLY
18,BTC/USDT,2025,0.575,0.005,4h,30,15,15,7.896644086010102e-05,0.0014,3.628661150564904e-05,-0.0012847469476342493,0.0003002448480615445,0.7263916722174218,False,EXPLORATION_ONLY
19,BTC/USDT,2025,0.575,0.002,1h,87,30,57,2.6366726795842847e-05,0.0014,7.1128902088524965e-06,-0.0013665203829953045,-0.0013563646498342286,0.4098016028481348,False,EXPLORATION_ONLY
20,BTC/USDT,2025,0.575,0.005,30m,30,8,22,-5.164884793917488e-06,0.0014,7.204791510475032e-06,-0.0013979600932834426,-0.0016320905980459722,0.24353382904018417,False,EXPLORATION_ONLY
21,BTC/USDT,2025,0.575,0.002,30m,87,20,67,-0.00017002182643218618,0.0014,3.116408729769141e-06,-0.001566905417702417,-0.0016490268011051105,0.17974863533328914,False,EXPLORATION_ONLY
22,BTC/USDT,2025,0.6,0.002,30m,43,9,34,-0.00035983726808624537,0.0014,1.360922853316247e-06,-0.0017584763452329292,-0.0017405341766260328,0.08315367993519504,False,EXPLORATION_ONLY
23,BTC/USDT,2025,0.6,0.005,30m,13,2,11,-0.0004512702697621759,0.0014,4.501514053276817e-06,-0.0018467687557088993,-0.0021900403722575176,0.06211226957459773,False,EXPLORATION_ONLY
24,BTC/USDT,2025,0.6,0.002,1h,43,12,31,-0.0006935235211825807,0.0014,5.908712049839886e-06,-0.002087614809132741,-0.0019331273758050216,0.19872758972932,False,EXPLORATION_ONLY
25,BTC/USDT,2025,0.6,0.005,1h,13,3,10,-0.0009772105608864762,0.0014,1.1836710217125719e-05,-0.0023653738506693505,-0.0021117244745100963,0.13803381903701706,False,EXPLORATION_ONLY
26,BTC/USDT,2025,0.6,0.01,1h,6,2,4,-0.0010075642103200852,0.0014,2.564620547043906e-05,-0.0023819180048496465,-0.001145436760361219,0.2466991574102416,False,EXPLORATION_ONLY
